CSV Output,,
Proc Code(cpt4),proc_type,proc_description
85347,CPT?-Procedure-Code,COAGULATION TIME TEST ACTIVATED
85362,CPT?-Procedure-Code,ASSAY FIBRIN DEGRADATION PRODUCTS
85366,CPT?-Procedure-Code,FIBRINOGEN TEST
85378,CPT?-Procedure-Code,ASSAY FIBRIN DEGRADATION PRODUCTS
85379,CPT?-Procedure-Code,ASSAY FIBRIN DEGRADATION PRODUCTS
85380,CPT?-Procedure-Code,FIBRIN DEGRADATION VTE
85384,CPT?-Procedure-Code,FIBRINOGEN ACTIVITY
85385,CPT?-Procedure-Code,FIBRINOGEN ANTIGEN
85390,CPT?-Procedure-Code,FIBRINOLYSINS/COAGULOPATHY SCREEN
85420,CPT?-Procedure-Code,FIBRINOLYTIC PLASMINOGEN
85461,CPT?-Procedure-Code,FETAL HEMOGLOBIN ROSETTE
855,Revenue Code,CCPD/HOME/SUPSERV
85520,CPT?-Procedure-Code,HEPARIN ASSAY
85576,CPT?-Procedure-Code,BLOOD PLATELET AGGREGATION IN VITRO
85597,CPT?-Procedure-Code,PLATELET NEUTRALIZATION
85598,CPT?-Procedure-Code,HEXAGNAL PHOSPH PLTLT NEUTRL
85610,CPT?-Procedure-Code,PROTHROMBIN TIME
85611,CPT?-Procedure-Code,PROTHROMBIN TEST
85612,CPT?-Procedure-Code,VIPER VENOM PROTHROMBIN TIME
85613,CPT?-Procedure-Code,VIPER VENOM PROTHROMB TIME DILUTED
85635,CPT?-Procedure-Code,REPTILASE TEST
85651,CPT?-Procedure-Code,RBC SEDIMENTATION RATE NON-AUTO
85652,CPT?-Procedure-Code,RBC SEDIMENTATION RATE AUTOMATED
85660,CPT?-Procedure-Code,RBC SICKLE CELL TEST SLIDE
85670,CPT?-Procedure-Code,THROMBIN TIME PLASMA
85705,CPT?-Procedure-Code,THROMBOPLASTIN INHIBITION TISSUE
85730,CPT?-Procedure-Code,THROMBOPLASTIN TIME PARTIAL
85732,CPT?-Procedure-Code,THROMBOPLASTIN TIME PARTIAL SUBST
85810,CPT?-Procedure-Code,VISCOSITY EXAMINATION
860,Revenue Code,RESERVED NATIONAL ASSIGNMENT
86001,CPT?-Procedure-Code,ALLERGIN SPEC IGG QUAN/SEMI-QUAN EA
86003,CPT?-Procedure-Code,ALLERGEN SPECIFIC IGE QUANTITATIVE
86005,CPT?-Procedure-Code,ALLERGEN SPECIFIC IGE QUALITATIVE
86021,CPT?-Procedure-Code,WBC ANTIBODY IDENTIFICATION
86022,CPT?-Procedure-Code,PLATELET ANTIBODY IDENTIFICATION
86023,CPT?-Procedure-Code,IMMUNOGLOBULIN ASSAY
86038,CPT?-Procedure-Code,ASSAY ANTINUCLEAR ANTIBODIES
86039,CPT?-Procedure-Code,ANTINUCLEAR ANTIBODIES TITER
86060,CPT?-Procedure-Code,ANTISTREPTOLYSIN O TITER
86063,CPT?-Procedure-Code,ANTISTREPTOLYSIN O SCREEN
86077,CPT?-Procedure-Code,PHYSICIAN BLOOD BANK SERVICE
86078,CPT?-Procedure-Code,PHYSICIAN BLOOD BANK SERVICE
86079,CPT?-Procedure-Code,PHYSICIAN BLOOD BANK SERVICE
86140,CPT?-Procedure-Code,C-REACTIVE PROTEIN
86141,CPT?-Procedure-Code,C-REACTIVE PROTEIN HIGH SENSITIVITY
86146,CPT?-Procedure-Code,BETA-2 GLYCOPROTEIN 1 ANTIBODY EA
86147,CPT?-Procedure-Code,CARDIOLIPIN ANTIBODY EA LG CLASS
86148,CPT?-Procedure-Code,ANTI-PHOSPHATIDYLSERINE ANTIBODY
86157,CPT?-Procedure-Code,COLD AGGLUTININ TITER
86160,CPT?-Procedure-Code,COMPLEMENT ANTIGEN
86161,CPT?-Procedure-Code,COMPLEMENT/FUNCTIONAL ACTIVITY
86162,CPT?-Procedure-Code,COMPLEMENT TOTAL (CH50)
862,Revenue Code,RESERVED NATIONAL ASSIGNMENT
86200,CPT?-Procedure-Code,CCP ANTIBODY
86215,CPT?-Procedure-Code,DEOXYRIBONUCLEASE ANTIBODY
86225,CPT?-Procedure-Code,DNA ANTIBODY NATIVE/DOUBLE STRAND
86226,CPT?-Procedure-Code,DNA ANTIBODY SINGLE STRAND
86235,CPT?-Procedure-Code,NUCLEAR ANTIGEN ANTIBODY EACH
86255,CPT?-Procedure-Code,FLUOR ANTIBODY SCRN NON-INFECT EA
86256,CPT?-Procedure-Code,FLUORESCENT ANTIBODY TITER EACH
86294,CPT?-Procedure-Code,IMUNOASY TUMOR ANTIGN QUAL/SEMIQUAN
86300,CPT?-Procedure-Code,IMUNOASY TUMOR ANTIGN QUAN CA 15-3
86301,CPT?-Procedure-Code,IMUNOASY TUMOR ANTIGN QUAN CA 19-9
86304,CPT?-Procedure-Code,IMUNOASY TUMOR ANTIGN QUAN CA 125
86308,CPT?-Procedure-Code,HETEROPHILE ANTIBODY SCREEN
86316,CPT?-Procedure-Code,IMUNOASY TUMOR ANTIGN OTH QUAN EA
86317,CPT?-Procedure-Code,IMMUNOASY INFECT AGENT ANTIBDY NOS
86318,CPT?-Procedure-Code,IMMUNOASSAY INFECT AGENT ANTIBODY
86320,CPT?-Procedure-Code,SERUM IMMUNOELECTROPHORESIS
86329,CPT?-Procedure-Code,IMMUNODIFFUSION EACH
86331,CPT?-Procedure-Code,IMMUNODIFFUSION GEL (OUCHTERLONY)
86332,CPT?-Procedure-Code,ASSAY C1Q PRECIPITIN
86334,CPT?-Procedure-Code,IMMUNOFIXATION ELECTROPHORESIS
86335,CPT?-Procedure-Code,IMMUNOGLOBULIN TYPING EACH
86336,CPT?-Procedure-Code,ASSAY INHIBIN A
86337,CPT?-Procedure-Code,ASSAY INSULIN ANTIBODIES
86340,CPT?-Procedure-Code,INTRINSIC FACTOR ANTIBODY
86341,CPT?-Procedure-Code,ISLET CELL ANTIBODY
86343,CPT?-Procedure-Code,LEUKOCYTE HISTAMINE RELEASE
86352,CPT?-Procedure-Code,CELL FUNCTION ASSAY W/STIM
86353,CPT?-Procedure-Code,LYMPHOCYTE TRANSFORMATION
86355,CPT?-Procedure-Code,B CELLS TOTAL COUNT
86356,CPT?-Procedure-Code,MONONUCLEAR CELL ANTIGEN
86357,CPT?-Procedure-Code,LYMPHOCYTES T&B DISTINCTION
86359,CPT?-Procedure-Code,T CELLS TOTAL COUNT
86360,CPT?-Procedure-Code,T CELLS ABSOLUTE CD4 & CD8 COUNT
86361,CPT?-Procedure-Code,T CELLS ABSOLUTE CD4 COUNT
86367,CPT?-Procedure-Code,STEM CELLS TOTAL COUNT
86376,CPT?-Procedure-Code,ASSAY MICROSOMAL ANTIBODIES
86382,CPT?-Procedure-Code,VIRAL NEUTRALIZATION TEST
86386,CPT?-Procedure-Code,PATERNITY TESTING ABO+RH
86403,CPT?-Procedure-Code,PARTICLE AGGLUTINATION SCREEN
86406,CPT?-Procedure-Code,PARTICLE AGGLUTINATION TITER EACH
86430,CPT?-Procedure-Code,RHEUMATOID FACTOR TEST
86431,CPT?-Procedure-Code,RHEUMATOID FACTOR ASSAY
86480,CPT?-Procedure-Code,TB TEST CELL IMMUN MEASURE
86481,CPT?-Procedure-Code,TB AG RESPONSE T-CELL SUSP
865,Revenue Code,RESERVED NATIONAL ASSIGNMENT
86580,CPT?-Procedure-Code,TB INTRADERMAL TEST
86592,CPT?-Procedure-Code,SYPHILIS TEST
86593,CPT?-Procedure-Code,SYPHILIS ASSAY
86602,CPT?-Procedure-Code,ANTIBODY ACTINOMYCES
86606,CPT?-Procedure-Code,ANTIBODY ASPIRGILLUS
86609,CPT?-Procedure-Code,ANTIBODY BACTERIUM
86612,CPT?-Procedure-Code,ANTIBODY BLASTOMYCES
86615,CPT?-Procedure-Code,ANTIBODY BORDETELLA
86617,CPT?-Procedure-Code,LYME DISEASE CONFIRMATION TEST
86618,CPT?-Procedure-Code,ANTIBODY LYME DISEASE
86631,CPT?-Procedure-Code,ANTIBODY CHLAMYDIA
86635,CPT?-Procedure-Code,ANTIBODY COCCIDIOIDES
86644,CPT?-Procedure-Code,ANTIBODY CMV
86645,CPT?-Procedure-Code,ANTIBODY CMV IGM
86648,CPT?-Procedure-Code,ANTIBODY DIPHTHERIA
86658,CPT?-Procedure-Code,ANTIBODY ENTEROVIRUS
86663,CPT?-Procedure-Code,ANTIBODY EPSTEIN-BARR (EA)
86664,CPT?-Procedure-Code,ANTIBODY EPSTEIN-BARR (EBNA)
86665,CPT?-Procedure-Code,ANTIBODY EPSTEIN-BARR (VCA)
86666,CPT?-Procedure-Code,ANTIBODY EHRLICHIA
86671,CPT?-Procedure-Code,ANTIBODY FUNGUS
86677,CPT?-Procedure-Code,ANTIBODY HELICOBACTER PYLORI
86682,CPT?-Procedure-Code,ANTIBODY HELMINTH
86684,CPT?-Procedure-Code,ANTIBODY HEMOPHILUS INFLUENZA
86687,CPT?-Procedure-Code,ANTIBODY HTLV-I
86688,CPT?-Procedure-Code,ANTIBODY HTLV-II
86689,CPT?-Procedure-Code,HTLV/HIV ANTIBODY CONFIRMATORY TEST
86694,CPT?-Procedure-Code,ANTIBODY HERPES SIMPLEX
86695,CPT?-Procedure-Code,ANTIBODY HERPES SIMPLEX TYPE I
86696,CPT?-Procedure-Code,ANTIBODY HERPES SIMPLEX TYPE 2
86698,CPT?-Procedure-Code,ANTIBODY HISTOPLASMA
86701,CPT?-Procedure-Code,ANTIBODY HIV-1
86702,CPT?-Procedure-Code,ANTIBODY HIV-2
86703,CPT?-Procedure-Code,HIV-1/HIV-2 SINGLE ASSAY
86704,CPT?-Procedure-Code,HEPATITIS B CORE ANTIBODY TOTAL
86705,CPT?-Procedure-Code,HEP B CORE ANTIBODY TOTAL IGM
86706,CPT?-Procedure-Code,HEPATITIS B SURFACE ANTIBODY
86707,CPT?-Procedure-Code,HEPATITIS BE ANTIBODY
86708,CPT?-Procedure-Code,HEPATITIS A ANTIBODY TOTAL
86709,CPT?-Procedure-Code,HEPATITIS A ANTIBODY TOTAL IGM
86710,CPT?-Procedure-Code,ANTIBODY INFLUENZA VIRUS
86735,CPT?-Procedure-Code,ANTIBODY MUMPS
86738,CPT?-Procedure-Code,ANTIBODY MYCOPLASMA
86747,CPT?-Procedure-Code,ANTIBODY PARVOVIRUS
86753,CPT?-Procedure-Code,ANTIBODY PROTOZOA
86757,CPT?-Procedure-Code,ANTIBODY RICKETTSIA
86759,CPT?-Procedure-Code,ANTIBODY ROTAVIRUS
86762,CPT?-Procedure-Code,ANTIBODY RUBELLA
86765,CPT?-Procedure-Code,ANTIBODY RUBEOLA
86774,CPT?-Procedure-Code,ANTIBODY TETANUS
86777,CPT?-Procedure-Code,ANTIBODY TOXOPLASMA
86778,CPT?-Procedure-Code,ANTIBODY TOXOPLASMA IGM
86780,CPT?-Procedure-Code,TREPONEMA PALLIDUM
86784,CPT?-Procedure-Code,ANTIBODY TRICHINELLA
86787,CPT?-Procedure-Code,ANTIBODY VARICELLA-ZOSTER
86788,CPT?-Procedure-Code,WEST NILE VIRUS AB IGM
86789,CPT?-Procedure-Code,WEST NILE VIRUS ANTIBODY
86790,CPT?-Procedure-Code,ANTIBODY VIRUS
86800,CPT?-Procedure-Code,ANTIBODY THYROGLOBULIN
86803,CPT?-Procedure-Code,ANTIBODY HEPATITIS C
86804,CPT?-Procedure-Code,ANTIBODY HEPATITIS C CONFIRM TEST
86805,CPT?-Procedure-Code,LYMPHOCYTOTOXICITY ASSAY W/TITRAT
86807,CPT?-Procedure-Code,CYTOTOXIC ANTIBODY SCREENING STD
86808,CPT?-Procedure-Code,CYTOTOXIC ANTIBODY SCREENING QUICK
86812,CPT?-Procedure-Code,HLA TYPING A B OR C SNGL ANTIGEN
86813,CPT?-Procedure-Code,HLA TYPING A B OR C MULT ANTIGEN
86817,CPT?-Procedure-Code,HLA TYPING DR/DQ MULTIPLE
86821,CPT?-Procedure-Code,LYMPHOCYTE CULTURE MIXED (MLC)
86825,CPT?-Procedure-Code,HLA X-MATCH NON-CYTOTOXIC
86828,CPT?-Procedure-Code,HLA CLASS I&II ANTIBODY QUAL
86830,CPT?-Procedure-Code,HLA CLASS I PHENOTYPE QUAL
86831,CPT?-Procedure-Code,HLA CLASS II PHENOTYPE QUAL
86832,CPT?-Procedure-Code,HLA CLASS I HIGH DEFIN QUAL
86833,CPT?-Procedure-Code,HLA CLASS II HIGH DEFIN QUAL
86850,CPT?-Procedure-Code,RBC ANTIBODY SCREEN EACH
86870,CPT?-Procedure-Code,RBC ANTIBODY IDENTIFICATION EACH
86880,CPT?-Procedure-Code,COOMBS TEST DIRECT
86885,CPT?-Procedure-Code,COOMBS TEST INDIRECT QUALITATIVE
86886,CPT?-Procedure-Code,COOMBS TEST INDIRECT
86900,CPT?-Procedure-Code,BLOOD TYPING ABO ONLY
86901,CPT?-Procedure-Code,BLOOD TYPING RH (D)
86902,CPT?-Procedure-Code,BLOOD TYPE ANTIGEN DONOR EA
86904,CPT?-Procedure-Code,BLOOD TYPING ANTIGEN SCREENING
86905,CPT?-Procedure-Code,BLOOD TYPING RBC ANTIGENS
86906,CPT?-Procedure-Code,BLOOD TYPING RH PHENOTYPING
86920,CPT?-Procedure-Code,COMPATIBILITY TEST IMMEDIATE SPIN
86921,CPT?-Procedure-Code,COMPATIBILITY TEST INCUBATION
86922,CPT?-Procedure-Code,COMPATIBILITY TEST ANTIGLOBULIN
86923,CPT?-Procedure-Code,COMPATIBILITY TEST ELECTRIC
86927,CPT?-Procedure-Code,PLASMA FRESH FROZEN
86941,CPT?-Procedure-Code,HEMOLYSINS/AGGLUTININS INCUBATED
86945,CPT?-Procedure-Code,BLOOD PRODUCT IRRADIATION EACH
86972,CPT?-Procedure-Code,PRETREAT RBCS SEPARATION
87015,CPT?-Procedure-Code,SPECIMEN CONCENTRATION INFECT AGNT
87040,CPT?-Procedure-Code,BLOOD CULTURE FOR BACTERIA
87045,CPT?-Procedure-Code,FECES CULTURE FOR BACTERIA
87046,CPT?-Procedure-Code,STOOL CULTURE BACTERIA ADL PATHGN
87070,CPT?-Procedure-Code,CULT SPECMN BACTR NO URN/BLD/STL
87071,CPT?-Procedure-Code,CULT BACT QUAN AERBC NO URN/BLD/STL
87073,CPT?-Procedure-Code,CULT BACT QUAN ANARBC NO URN/BLD/ST
87075,CPT?-Procedure-Code,CULT BACTR ANY SOURCE ANAEROBIC
87076,CPT?-Procedure-Code,CULT BACTR ANAEROBIC ADDL METHODS
87077,CPT?-Procedure-Code,CULT BACTR AEROBIC ADDL METHODS
87081,CPT?-Procedure-Code,CULT PATHGNC ORGNSM SCREEN
87084,CPT?-Procedure-Code,CULT PATHGNC ORGNSM COLONY EST
87086,CPT?-Procedure-Code,CULT BACTR QUAN COLONY CNT URINE
87088,CPT?-Procedure-Code,CULT BACTR IDENT ISOLATE URINE
87101,CPT?-Procedure-Code,CULT FUNGI ISOLTN SKIN/HAIR/NAIL
87102,CPT?-Procedure-Code,CULT FUNGI ISOLTN OTH SRC NO BLOOD
87106,CPT?-Procedure-Code,CULT FUNGI DEFINITIVE IDENT YEAST
87107,CPT?-Procedure-Code,CULT FUNGI DEFINITIVE IDENT MOLD
87109,CPT?-Procedure-Code,MYCOPLASMA CULTURE
87110,CPT?-Procedure-Code,CHLAMYDIA CULTURE
87116,CPT?-Procedure-Code,CULT TUBERCLE/OTH ACID FAST BACILLI
87140,CPT?-Procedure-Code,CULT TYPING IMMUNOFLUORSCNT METHOD
87147,CPT?-Procedure-Code,CULTURE TYPING IMMUNOLOGIC METHOD
87149,CPT?-Procedure-Code,CULTURE TYPING NUCLEIC ACID PROBE
87150,CPT?-Procedure-Code,DNA/RNA AMPLIFIED PROBE
87153,CPT?-Procedure-Code,DNA/RNA SEQUENCING
87176,CPT?-Procedure-Code,HOMOGENIZATION TISSUE FOR CULTURE
87177,CPT?-Procedure-Code,OVA AND PARASITES SMEARS
87181,CPT?-Procedure-Code,SUSCEPT STUDY ANTIMICROB AGAR DIL
87184,CPT?-Procedure-Code,SUSCEPT STUDY ANTIMICROB DISK
87185,CPT?-Procedure-Code,SUSCEPT STUDY ANTIMICROB ENZYME
87186,CPT?-Procedure-Code,SUSCEPT STUDY MICRODILUT/AGAR MIC
872,Revenue Code,RESERVED NATIONAL ASSIGNMENT
87205,CPT?-Procedure-Code,SMEAR STAIN & INTERPRET ROUTINE
87206,CPT?-Procedure-Code,SMEAR STAIN & INTERP FLUORESCENT
87207,CPT?-Procedure-Code,SMEAR STAIN & INTERPRET SPECIAL
87209,CPT?-Procedure-Code,SMEAR COMPLEX STAIN
87210,CPT?-Procedure-Code,SMEAR STAIN & INTERPRET WET
87220,CPT?-Procedure-Code,TISSUE EXAM FOR FUNGI/OVA/MITES
87230,CPT?-Procedure-Code,ASSAY TOXIN OR ANTITOXIN
87252,CPT?-Procedure-Code,VIRUS ISOLATION FOR TEST TISSUE
87253,CPT?-Procedure-Code,VIRUS ISOLATION TEST TISSUE ADDL
87254,CPT?-Procedure-Code,VIRUS ISOLATION TEST SHELL VIAL
87255,CPT?-Procedure-Code,GENET VIRUS ISOLATE HSV
87269,CPT?-Procedure-Code,GIARDIA AG IF
87270,CPT?-Procedure-Code,INFCT ANTIGEN CHLAMYDIA TRACHOMAT
87271,CPT?-Procedure-Code,CRYPTOSPORIDUM/GARDIA AG IF
87272,CPT?-Procedure-Code,INFCT ANTIGEN CRYPTOSPORIDUM/GIARDI
87273,CPT?-Procedure-Code,INFCT ANTIGEN HERPES SIMPLX TYPE 2
87274,CPT?-Procedure-Code,INFCT ANTIGEN HERPES SIMPLX TYPE 1
87275,CPT?-Procedure-Code,INFCT ANTIGEN INFLUENZA B VIRUS
87276,CPT?-Procedure-Code,INFCT ANTIGEN INFLUENZA A VIRUS
87290,CPT?-Procedure-Code,INFCT ANTIGEN VARICELLA ZOSER VIR
87299,CPT?-Procedure-Code,INFCT ANTIGEN NOS
87300,CPT?-Procedure-Code,INFCT ANTIGEN POLYVALENT MULT ORG
87305,CPT?-Procedure-Code,ASPERGILLUS AG EIA
87320,CPT?-Procedure-Code,INFCT ANTIGEN CHLAMYDIA TRACHOMATI
87324,CPT?-Procedure-Code,INFCT ANTIGEN CLOSTRIDIUM DIF TXNS
87328,CPT?-Procedure-Code,INFCT ANTIGEN CRYPTOSPORIDUM/GIARDI
87329,CPT?-Procedure-Code,GIARDIA AG EIA
87338,CPT?-Procedure-Code,INFCT ANTIGEN HELICO PYLORI STOOL
87339,CPT?-Procedure-Code,INFCT ANTIGEN HELICOBACTOR PYLORI
87340,CPT?-Procedure-Code,INFCT ANTIGEN HBSAG
87341,CPT?-Procedure-Code,INFCT ANTIGEN HBSAG NEUTRALIZATION
87350,CPT?-Procedure-Code,INFCT ANTIGEN HEPATITIS BE (HBSAG)
87385,CPT?-Procedure-Code,INFCT ANTIGEN HISTOPLASMA CAPSULAT
87389,CPT?-Procedure-Code,HIV-1 AG W/HIV-1 & HIV-2 AB
87390,CPT?-Procedure-Code,INFCT ANTIGEN HIV-1
87400,CPT?-Procedure-Code,INFCT ANTIGEN INFLUENZA A OR B EA
87420,CPT?-Procedure-Code,INFCT ANTIGEN RESP SYNCYTIAL VIRUS
87427,CPT?-Procedure-Code,INFCT ANTIGEN SHIGA-LIKE TOXIN
87430,CPT?-Procedure-Code,INFCT ANTIGEN STREPTOC GROUP A
87449,CPT?-Procedure-Code,INFCT ANTIGEN MULT STEP NOS
87450,CPT?-Procedure-Code,INFCT ANTIGEN SINGLE STEP NOS
87476,CPT?-Procedure-Code,INFCT ANTIGN BORRELIA AMPL PROBE
87480,CPT?-Procedure-Code,INFCT ANTIGN CANDIDA DIRECT PROBE
87481,CPT?-Procedure-Code,INFCT ANTIGN CANDIDA AMPL PROBE
87486,CPT?-Procedure-Code,INFCT ANTIGN CHLAMYDIA PNEU AMPL
87490,CPT?-Procedure-Code,INFCT ANTIGN CHLAMYDIA TRAC DIRECT
87491,CPT?-Procedure-Code,INFCT ANTIGN CHLAMYDIA TRAC AMPL
87493,CPT?-Procedure-Code,C DIFF AMPLIFIED PROBE
87496,CPT?-Procedure-Code,INFCT ANTIGN CYTOMEGALOVIRUS AMPL
87497,CPT?-Procedure-Code,INFCT ANTIGN CYTOMEGALOVIRUS QUAN
87502,CPT?-Procedure-Code,INFLUENZA DNA AMP PROBE
87503,CPT?-Procedure-Code,INFLUENZA DNA AMP PROB ADDL
87510,CPT?-Procedure-Code,INFCT ANTIGN GARDNERELLA VAG DIR
87511,CPT?-Procedure-Code,INFCT ANTIGN GARDNERELLA VAG AMPL
87512,CPT?-Procedure-Code,INFCT ANTIGN GARDNERELLA VAG QUAN
87517,CPT?-Procedure-Code,INFCT ANTIGN HEPATITIS B QUAN
87521,CPT?-Procedure-Code,INFCT ANTIGN HEPATITIS C AMPL
87522,CPT?-Procedure-Code,INFCT ANTIGN HEPATITIS C QUAN
87529,CPT?-Procedure-Code,INFCT ANTIGN HERPES SIMPLEX AMPL
87535,CPT?-Procedure-Code,INFCT ANTIGN HIV-1 AMPL PROBE
87536,CPT?-Procedure-Code,INFCT ANTIGN HIV-1 QUANTIFICATION
87552,CPT?-Procedure-Code,INFCT ANTIGN MICROBAC SPEC QUAN
87555,CPT?-Procedure-Code,INFCT ANTIGN MICROBAC TB DIRECT
87560,CPT?-Procedure-Code,INFCT ANTIGN MICROBAC AVIUM DIRECT
87581,CPT?-Procedure-Code,INFCT ANTIGN MYCOPLASMA PNEU AMPL
87590,CPT?-Procedure-Code,INFCT ANTIGN NEISSERIA GON DIRECT
87591,CPT?-Procedure-Code,INFCT ANTIGN NEISSERIA GON AMPL
87592,CPT?-Procedure-Code,INFCT ANTIGN NEISSERIA GON QUAN
87620,CPT?-Procedure-Code,INFCT ANTIGN HUMAN PAPILVS DIRECT
87621,CPT?-Procedure-Code,INFCT ANTIGN HUMAN PAPILVS AMPL
87622,CPT?-Procedure-Code,INFCT ANTIGN HUMAN PAPILVS QUAN
87631,CPT?-Procedure-Code,RESP VIRUS 3-11 TARGETS
87632,CPT?-Procedure-Code,RESP VIRUS 6-11 TARGETS
87633,CPT?-Procedure-Code,RESP VIRUS 12-25 TARGETS
87640,CPT?-Procedure-Code,STAPH A DNA AMP PROBE
87641,CPT?-Procedure-Code,MR-STAPH DNA AMP PROBE
87650,CPT?-Procedure-Code,INFCT ANTIGN STREPTOCOCCUS A DIR
87651,CPT?-Procedure-Code,INFECT ANTIGN STREPTOCOCCUS A AMPL
87653,CPT?-Procedure-Code,STREP B DNA AMP PROBE
87660,CPT?-Procedure-Code,TRICHOMONAS VAGIN DIR PROBE
87661,CPT?-Procedure-Code,IADNA TRICHOMONAS VAGINALIS
87797,CPT?-Procedure-Code,INFECT ANTIGN NOS DIRECT
87798,CPT?-Procedure-Code,INFCT ANTIGN NOS AMPLIFIED
87799,CPT?-Procedure-Code,INFCT ANTIGN NOS QUANTIFICATION
87800,CPT?-Procedure-Code,INFCT ANTIGN MULT DIRECT PROBE
87801,CPT?-Procedure-Code,INFCT ANTIGN MULT AMPLIFIED PROBE
87802,CPT?-Procedure-Code,INFCT ANTIGEN STREPTOCOCCUS GRP B
87803,CPT?-Procedure-Code,INFCT ANTIGEN CLOSTRIDIUM DIFF A
87804,CPT?-Procedure-Code,INFCT ANTIGEN INFLUENZA
87807,CPT?-Procedure-Code,RSV ASSAY W/OPTIC
87808,CPT?-Procedure-Code,TRICHOMONAS ASSAY W/OPTIC
87810,CPT?-Procedure-Code,INFCTS ANTIGN CHLAMYDIA TRACHOMATI
87880,CPT?-Procedure-Code,INFCTS ANTIGN STREPTOCOCCUS GRP A
87899,CPT?-Procedure-Code,INFCTS ANTIGN NOS
87900,CPT?-Procedure-Code,PHENOTYPE INFECT AGENT DRUG
87901,CPT?-Procedure-Code,INFCT ANTIGN GENOTYPE ANALY HIV 1
87902,CPT?-Procedure-Code,INFCT ANTIGEN GENOTYPE ANALY HEP C
87905,CPT?-Procedure-Code,SIALIDASE ENZYME ASSAY
87910,CPT?-Procedure-Code,GENOTYPE CYTOMEGALOVIRUS
87999,CPT?-Procedure-Code,MICROBIOLOGY PROCEDURE NEC
880,Revenue Code,DIALY/MISC
881,Revenue Code,DIALY/ULTRAFILT
88104,CPT?-Procedure-Code,MICROSCOPIC EXAM OF CELLS SMEARS
88106,CPT?-Procedure-Code,MICROSCOPIC EXAM OF CELLS FILTER
88108,CPT?-Procedure-Code,MICROSCOPIC CELL EXAM (SACCOMANNO)
88112,CPT?-Procedure-Code,CYTOPATH CELL ENHANCE TECH
88120,CPT?-Procedure-Code,CYTP URNE 3-5 PROBES EA SPEC
88121,CPT?-Procedure-Code,CYTP URINE 3-5 PROBES CMPTR
88141,CPT?-Procedure-Code,CYTOPATH CERV/VAG PHY INTERP
88142,CPT?-Procedure-Code,CYTOPATH CERV/VAG MANUAL SCREEN
88143,CPT?-Procedure-Code,CYTOPATH CERV/VAG MANUAL RE-SCREEN
88148,CPT?-Procedure-Code,CYTOPATH SMEAR C/VAG AUTO/RESCRN
88150,CPT?-Procedure-Code,CYTOPATH CERV/VAG MANUAL SCREEN
88155,CPT?-Procedure-Code,CYTOPATHOLOGY HORMONAL EVALUATION
88160,CPT?-Procedure-Code,CYTOPATHOLOGY SCREEN/INTERPRET
88161,CPT?-Procedure-Code,CYTOPATHOLOGY PREP/SCREEN/INTERPRET
88162,CPT?-Procedure-Code,CYTOPATHOLOGY EXTENSIVE STUDY
88164,CPT?-Procedure-Code,CYTOPATH C/VAG BETHESDA MANUAL
88165,CPT?-Procedure-Code,CYTOPATH C/VAG BETHESDA SRN&RESCR
88172,CPT?-Procedure-Code,CYTOPATH EVAL ASPIRATE IMMD STUDY
88173,CPT?-Procedure-Code,CYTOPATH EVAL ASPIRATE INTRP/RPRT
88174,CPT?-Procedure-Code,CYTOPATH C/V AUTO IN FLUID
88175,CPT?-Procedure-Code,CYTOPATH C/V AUTO FLUID REDO
88177,CPT?-Procedure-Code,CYTP C/V AUTO THIN LYR ADDL
88184,CPT?-Procedure-Code,FLOW CYTOMETRY/ TC 1 MARKER
88185,CPT?-Procedure-Code,FLOW CYTOMETRY/TC ADD-ON
88187,CPT?-Procedure-Code,FLOW CYTOMETRY/READ 2-8
88188,CPT?-Procedure-Code,FLOW CYTOMETRY/READ 9-15
88189,CPT?-Procedure-Code,FLOW CYTOMETRY/READ 16 & >
88199,CPT?-Procedure-Code,CYTOPATHOLOGY PROCEDURE NEC
88230,CPT?-Procedure-Code,TISS CULT NON-NEOPLASTIC LYMPHOCY
88233,CPT?-Procedure-Code,TISS CULT NON-NEOPLASTIC BIOPSY
88237,CPT?-Procedure-Code,TISS CULT NEOPLASTIC MARROW/CELLS
88240,CPT?-Procedure-Code,CRYOPRESRV CELLS EACH CELL LINE
88261,CPT?-Procedure-Code,CHROMOSOME ANALYSIS 5 CELLS
88262,CPT?-Procedure-Code,CHROMOSOME COUNT 15-20 CELLS
88264,CPT?-Procedure-Code,CHROMOSOME ANALYSIS 20-25 CELLS
88271,CPT?-Procedure-Code,MOLECULAR CYTOGENICS DNA PROBE EA
88275,CPT?-Procedure-Code,MOLECULAR CYTOGENICS INSITU 100-300
88280,CPT?-Procedure-Code,CHROMOSOME KARYOTYPE STUDY
88289,CPT?-Procedure-Code,CHROMOSOME STUDY ADDL HIGH RES
88291,CPT?-Procedure-Code,CYTOGENETICS/MOLECULAR INTERP/REPT
883,UNKNOWN Code,UNKNOWN Code
88300,CPT?-Procedure-Code,TISSUE EXAM BY PATHOLOGIST LEVEL I
88302,CPT?-Procedure-Code,TISSUE EXAM BY PATHOLOGIST LVL II
88304,CPT?-Procedure-Code,TISSUE EXAM BY PATHOLOGIST LVL III
88305,CPT?-Procedure-Code,TISSUE EXAM BY PATHOLOGIST LVL IV
