"CSV Output"
"DX_CD","diag_description",
"5741","5741 - CALCULUS GLBLDR W/OTH CHOLECYSTITIS",
"57410","57410 - CHLTHIAS W/OTH CHLCYST W/O OBST",
"57411","57411 - CHLTHIAS W/OTH CHLCYST W/OBST",
"5742","5742 - CALCULUS GALLBLADDER W/O CHLCYST",
"57420","57420 - CHLTHIAS W/O CHLCYST W/O OBST",
"57421","57421 - CHLTHIAS W/O CHLCYST W/OBST",
"57430","57430 - CHLDOCLTH W/ACUTE CHLCYST W/O OBST",
"57440","57440 - CHLDOCLTH W/OTH CHLCYST W/O OBST",
"57441","57441 - CHLDOCLTH W/OTH CHLCYST W/OBST",
"57450","57450 - CHLDOCLTH W/O CHLCYST W/O OBST",
"57451","57451 - CHLDOCLTH W/O CHLCYST W/OBST",
"57460","57460 - CHLTHIAS W/ACUTE CHLCYST W/O OBST",
"57461","57461 - CHLTHIAS W/ACUTE CHLCYST W/OBST",
"57470","57470 - CHLTHIAS W/OTH CHLCYST W/O OBST",
"57471","57471 - CHLTHIAS W/OTH CHLCYST W/OBST",
"57480","57480 - CHLTHIAS W/ AC/CH CHLYCST W/O OBST",
"57481","57481 - CHLTHIAS W/ AC/CH CHLYCST W/OBST",
"5749","5749 - CALCUL GLBLDR/BILE W/O CHLYCST",
"57490","57490 - CHLTHIAS W/O CHLCYST W/O OBST",
"5750","5750 - CHOLECYSTITIS ACUTE",
"57510","57510 - CHOLECYSTITIS NOS",
"57511","57511 - CHOLECYSTITIS CHRONIC",
"57512","57512 - CHOLECYSTITIS ACUTE AND CHRONIC",
"5752","5752 - OBSTRUCTION GALLBLADDER",
"5753","5753 - HYDROPS GALLBLADDER",
"5756","5756 - CHOLESTEROLOSIS GALLBLADDER",
"5758","5758 - DISORDER GALLBLADDER NEC",
"5759","5759 - DISORDER GALLBLADDER NOS",
"5760","5760 - SYNDROME POSTCHOLECYSTECTOMY",
"5761","5761 - CHOLANGITIS",
"5762","5762 - OBSTRUCTION BILE DUCT",
"5764","5764 - FISTULA BILE DUCT",
"5768","5768 - DISORDER BILIARY TRACT NEC",
"5769","5769 - DISORDER BILIARY TRACT NOS",
"5770","5770 - PANCREATITIS ACUTE",
"5771","5771 - PANCREATITIS CHRONIC",
"5772","5772 - CYST/PSEUDOCYST PANCREAS",
"5778","5778 - DISEASE PANCREAS NEC",
"5779","5779 - DISEASE PANCREATIC NOS",
"5780","5780 - HEMATEMESIS",
"5781","5781 - BLOOD IN STOOL",
"5789","5789 - HEMORRHAGE GASTROINTESTINAL NOS",
"5790","5790 - DISEASE CELIAC",
"5791","5791 - SPRUE TROPICAL",
"5793","5793 - NONABSORPTION INTESTINAL POSTOP",
"5798","5798 - MALABSORPTION INTESTINAL NEC",
"5799","5799 - MALABSORPTION INTESTINAL NOS",
"58081","58081 - NEPHRITIS ACUTE IN DISEASES CE",
"58089","58089 - GLOMERULONEPHRITIS ACUTE NEC",
"5809","5809 - GLOMRLNPH ACUTE W/UNSPC KDNY LSN",
"5810","5810 - SYNDROME PROLIFERATIVE NEPHROTIC",
"5811","5811 - SYNDROME NEPHROTIC W/MMBR LSN",
"58181","58181 - SYNDROME NEPHROTIC IN DISEASES CE",
"58189","58189 - SYND NEPH W/OTH SPC KDNY LSN NEC",
"5819","5819 - SYND NEPHROTIC W/UNSPC KDNY LSN",
"5820","5820 - NEPHRITIS CHRN W/PROLIF LESION",
"5821","5821 - NEPHRITIS CHRN W/MEMBRANOUS LSN",
"5824","5824 - NEPH CHRN W/RAPIDLY PRGRSV LSN",
"58281","58281 - NEPHRITIS CHRONIC IN DISEASES CE",
"58289","58289 - NEPH CHRN W/OTH SPC KDNY LESION NEC",
"5829","5829 - NEPHRITIS CHRN W/UNSPC KDNY LSN",
"5831","5831 - NEPHRITIS W/MEMBRANOUS LESION",
"58381","58381 - NEPHRITIS/NEPHROPATHY IN DISEASE CE",
"58389","58389 - NEPHRITIS W/OTH SPC KIDNEY LSN NEC",
"5839","5839 - NEPHRITIS W/UNSPECIFIED KIDNEY LSN",
"5845","5845 - RF ACUTE RENAL W/TBLR NECROSIS LSN",
"5846","5846 - RF ACUTE RENAL W/CRTCL NECROSIS LSN",
"5847","5847 - RF ACUTE W/MEDULLARY NECROSIS LSN",
"5848","5848 - RENAL FAILURE ACUTE NEC",
"5849","5849 - RENAL FAILURE ACUTE NOS",
"585","585 - RENAL FAILURE CHRONIC",
"5851","5851 - CHRONIC KIDNEY DISEASE STAGE I",
"5852","5852 - CHRONIC KIDNEY DISEASE STAGE II (MI",
"5853","5853 - CHRONIC KIDNEY DISEASE STAGE III (M",
"5854","5854 - CHRONIC KIDNEY DIS STAGE IV (SEVERE",
"5855","5855 - CHRONIC KIDNEY DISEASE STAGE V",
"5856","5856 - END STAGE RENAL DISEASE",
"5859","5859 - CHRONIC KIDNEY DISEASE UNSPEC",
"586","586 - RENAL FAILURE NOS",
"587","587 - SCLEROSIS RENAL NOS",
"5880","5880 - OSTEODYSTROPHY RENAL",
"58881","58881 - SEC HYPERPARATHYROIDISM (RENAL)",
"58889","58889 - OTHER SPEC DISORDER IMP RENAL FUNCT",
"5889","5889 - IMPAIRED RENAL FUNCTION NOS",
"5890","5890 - SMALL KIDNEY UNILATERAL",
"5891","5891 - SMALL KIDNEYS BILATERAL",
"5899","5899 - SMALL KIDNEY NOS",
"59000","59000 - PYELONEPHRITIS CHRONIC NOS",
"59010","59010 - PYELONEPHRITIS ACUTE NOS",
"5902","5902 - ABSCESS RENAL/PERINEPHRIC",
"59080","59080 - PYELONEPHRITIS NOS",
"5909","5909 - INFECTION KIDNEY NOS",
"591","591 - HYDRONEPHROSIS",
"5920","5920 - CALCULUS KIDNEY",
"5921","5921 - CALCULUS URETER",
"5929","5929 - CALCULUS URINARY NOS",
"5930","5930 - NEPHROPTOSIS",
"5931","5931 - HYPERTROPHY KIDNEY",
"5932","5932 - CYST KIDNEY ACQUIRED",
"5933","5933 - STRICTURE URETER",
"5934","5934 - OBSTRUCTION URETERIC NEC",
"5935","5935 - HYDROURETER",
"59370","59370 - REFLUX VESCURTL W/O NEPHROPATHY",
"59371","59371 - REFLUX VESCURTL W/NEPHPY UNILT",
"59372","59372 - REFLUX VESCURTL W/NEPHPHY BILAT",
"59373","59373 - REFLUX VESCURTL W/NEPHROPATHY NOS",
"59381","59381 - DISORDER VASCULAR KIDNEY",
"59389","59389 - DISORDER RENAL & URETERAL NEC",
"5939","5939 - DISORDER RENAL & URETERAL NOS",
"5940","5940 - CALCULUS IN BLADDER DIVERTICULUM",
"5941","5941 - CALCULUS IN BLADDER NEC",
"5942","5942 - CALCULUS IN URETHRA",
"5949","5949 - CALCULUS IN LOWER URINARY TRACT NOS",
"5950","5950 - CYSTITIS ACUTE",
"5951","5951 - CYSTITIS CHRONIC INTERSTITIAL",
"5952","5952 - CYSTITIS CHRONIC NEC",
"5953","5953 - TRIGONITIS",
"5954","5954 - CYSTITIS IN DISEASES CE",
"59581","59581 - CYSTITIS CYSTICA",
"59582","59582 - CYSTITIS IRRADIATION",
"59589","59589 - CYSTITIS NEC",
"5959","5959 - CYSTITIS NOS",
"5960","5960 - OBSTRUCTION BLADDER NECK",
"5963","5963 - DIVERTICULUM BLADDER",
"5964","5964 - ATONY BLADDER",
"59651","59651 - HYPERTONICITY BLADDER",
"59654","59654 - NEUROGENIC BLADDER NOS",
"59655","59655 - DYSSYNERGIA DETRUSOR SPHINCTER",
"59659","59659 - DYSFUNCTION BLADDER NEC",
"5968","5968 - DISORDER BLADDER NEC",
"59689","59689 - OTHER SPECIFIED DISORDERS OF BLADDE",
"5969","5969 - DISORDER BLADDER NOS",
"5970","5970 - ABSCESS URETHRAL",
"59780","59780 - URETHRITIS NOS",
"59781","59781 - SYNDROME URETHRAL NOS",
"59789","59789 - URETHRITIS NEC",
"59800","59800 - STRICTURE URETHRAL D/T INFCT NOS",
"59801","59801 - STRICTURE URETHRAL D/T INFCT DIS CE",
"5981","5981 - STRICTURE TRAUMATIC URETHRAL",
"5982","5982 - STRICTURE POSTOPERATIVE URETHRAL",
"5988","5988 - STRICTURE URETHRAL NEC",
"5989","5989 - STRICTURE URETHRAL NOS",
"5990","5990 - INFECTION URINARY TRACT NOS",
"5991","5991 - FISTULA URETHRAL",
"5992","5992 - DIVERTICULUM URETHRAL",
"5993","5993 - CARUNCLE URETHRAL",
"5995","5995 - PROLAPSED URETHRAL MUCOSA",
"59960","59960 - URINARY OBSTRUCTION UNSPEC",
"59969","59969 - URINARY OBSTRUCTION NEC",
"5997","5997 - HEMATURIA",
"59970","59970 - HEMATURIA UNSPE",
"59971","59971 - GROSS HEMATURI",
"59972","59972 - MICROSCOPIC HEMATURI",
"59981","59981 - HYPERMOBILITY URETHRAL",
"59982","59982 - ISD (URETHRAL)",
"59984","59984 - DISORDER URETHRA NEC",
"59989","59989 - DISORDER URINARY TRACT NOS",
"5999","5999 - DISORDER URETHRA/URINARY TRACT NOS",
"60000","60000 - HYPERTROPHY PROSTATE W O OBS",
"60001","60001 - HYPERTROPHY PROSTATE W OBST",
"60010","60010 - NODULAR PROSTATE W O OBSTRUC",
"60011","60011 - NODULAR PROSTATE W OBSTRUCT",
"60020","60020 - BEN HYPERPLAS PROSTATE W O OB",
"60021","60021 - BEN HYPERPLAS PROSTATE W OBS",
"6009","6009 - HYPERPLASIA PROSTATE NEC",
"60090","60090 - UNS HYPERPLAS PROSTATE W O OB",
"60091","60091 - UNS HYPERPLAS PROSTATE W OBS",
"6010","6010 - PROSTATITIS ACUTE",
"6011","6011 - PROSTATITIS CHRONIC",
"6012","6012 - ABSCESS PROSTATE",
"6013","6013 - PROSTATOCYSTITIS",
"6018","6018 - DISEASE PROSTATIC INFLAMMATORY NEC",
"6019","6019 - PROSTATITIS NOS",
"6022","6022 - ATROPHY PROSTATE",
"6023","6023 - DYSPLASIA PROSTATE",
"6028","6028 - DISORDER PROSTATE NEC",
"6029","6029 - DISORDER PROSTATE NOS",
"6030","6030 - HYDROCELE ENCYSTED",
"6038","6038 - HYDROCELE NEC",
"6039","6039 - HYDROCELE NOS",
"6040","6040 - ORCHITIS W/ABSCESS",
"60490","60490 - ORCHITIS/EPIDIDYMITIS NOS",
"60499","60499 - ORCHITIS/EPIDIDYMITIS NEC",
"605","605 - REDUNDANT PREPUCE & PHIMOSIS",
"6060","6060 - AZOOSPERMIA",
"6069","6069 - INFERTILITY MALE NOS",
"6071","6071 - BALANOPOSTHITIS",
"6072","6072 - DISORDERS INFLAMMATORY PENIS NEC",
"6073","6073 - PRIAPISM",
"60781","60781 - BALANITIS XEROTICA OBLITERANS",
"60782","60782 - DISORDER VASCULAR PENIS",
"60783","60783 - EDEMA PENIS",
"60784","60784 - IMPOTENCE ORGANIC ORIGIN",
"60785","60785 - PEYRONIES DISEASE",
"60789","60789 - DISORDER PENIS NEC",
"6079","6079 - DISORDER PENIS NOS",
"6081","6081 - SPERMATOCELE",
"60820","60820 - TORSION TESTIS UNSPEC",
"6083","6083 - ATROPHY TESTIS",
"6084","6084 - DIS INFLAMMATORY MALE GENITAL NEC",
"60881","60881 - DISORDER MALE GENITAL IN DIS CE",
"60882","60882 - DISORD MALE GEN ORG HEMATOSPERMIA",
"60883","60883 - DISORDER MALE GENITAL VASCULAR",
"60886","60886 - EDEMA MALE GENITAL ORGANS",
"60889","60889 - DISORDER MALE GENITAL NEC",
"6089","6089 - DISORDER MALE GENITAL NOS",
"6100","6100 - CYST SOLITARY BREAST",
"6101","6101 - MASTOPATHY DIFFUSE CYSTIC",
"6102","6102 - FIBROADENOSIS BREAST",
"6103","6103 - FIBROSCLEROSIS BREAST",
"6104","6104 - ECTASIA MAMMARY DUCT",
"6108","6108 - DYSPLASIA BENIGN MAMMARY NEC",
"6109","6109 - DYSPLASIA BENIGN MAMMARY NOS",
"6110","6110 - DISEASE INFLAMMATORY BREAST",
"6111","6111 - HYPERTROPHY BREAST",
"6112","6112 - FISSURE NIPPLE",
"6113","6113 - FAT NECROSIS BREAST",
"6114","6114 - ATROPHY BREAST",
"6115","6115 - GALACTOCELE",
"6116","6116 - GALACTORRHEA NON-OBSTETRIC",
"6117","6117 - SIGNS AND SYMPTOMS IN BREAST",
"61171","61171 - MASTODYNIA",
"61172","61172 - LUMP OR MASS IN BREAST",
"61179","61179 - SIGNS/SYMPTOMS IN BREAST NEC",
"61181","61181 - PTOSIS BREAS",
"61183","61183 - CAPSULAR CONTRACTURE BREAST IMPLAN",
"61189","61189 - OTH SPEC DISORDERS BREAS",
"6119","6119 - DISORDER BREAST NOS",
"6120","6120 - DEFORMITY RECONSTRUCTED BREAS",
"6121","6121 - DISPROPORTION RECONSTRUCTED BREAS",
"6142","6142 - SALPINGITIS/OOPHORITIS NOS",
"6143","6143 - PARAMETRITIS ACUTE",
"6144","6144 - PARAMETRITIS ACUTE",
"6146","6146 - ADHES PELV PERTNL FEMALE PSTOP",
"6149","6149 - DISEASE FEMALE PELVIC INFLM NOS",
"6151","6151 - INFLAMMATION CHRONIC UTERINE",
"6160","6160 - CERVICITIS",
"6161","6161 - VAGINITIS AND VULVOVAGINITIS",
"61610","61610 - VAGINITIS NOS",
"61611","61611 - VAGINITIS IN DISEASES CE",
"6162","6162 - CYST BARTHOLINS GLAND",
"6163","6163 - ABSCESS BARTHOLINS GLAND",
"6164","6164 - ABSCESS VULVA NEC",
"61650","61650 - ULCERATION VULVA NOS",
"61689","61689 - OTH INFLAMM DIS CERVIX VAG & VULVA",
"6169","6169 - DIS INFLM CERVIX/VAGINA/VULVA NOS",
"6170","6170 - ENDOMETRIOSIS UTERUS",
"6171","6171 - ENDOMETRIOSIS OVARY",
"6172","6172 - ENDOMETRIOSIS FALLOPIAN TUBE",
"6173","6173 - ENDOMETRIOSIS PELVIC PERITONEUM",
"6179","6179 - ENDOMETRIOSIS NOS",
"6180","6180 - PRLPS VAGINAL WALL W/O UTE PRLPS",
"61800","61800 - UNSPEC PROLAPSE VAGINAL WALLS",
"61801","61801 - CYSTOCELE MIDLINE",
"61802","61802 - CYSTOCELE LATERAL",
"61804","61804 - RECTOCELE",
"61809","61809 - OTHER PROLAPSE VAG WALLS",
"6181","6181 - PRLPS UTE W/O VAGINAL WALL PRLPS",
"6182","6182 - PROLAPSE UTEROVAGINAL INCOMPLETE",
"6183","6183 - PROLAPSE UTEROVAGINAL COMPLETE",
"6184","6184 - PROLAPSE UTEROVAGINAL NOS",
"6185","6185 - PROLAPSE VAGINAL POSTOPERATIVE",
"6186","6186 - ENTEROCELE VAGINAL",
"6187","6187 - LACERATION OLD PELVIC FLOOR MUSCLES",
"61882","61882 - INCOMP RECTOVAGINAL TISSUE",
"61883","61883 - PELVIC MUSCLE WASTING",
"61889","61889 - OTHER SPEC GENITAL PROLAPSE",
"6189","6189 - PROLAPSE FEMALE GENITAL NOS",
"6191","6191 - FISTULA DIGESTIVE/GENITAL FEMALE",
"6200","6200 - CYST FOLLICULAR OVARY",
"6201","6201 - CYST CORPUS LUTEUM",
"6202","6202 - CYST OVARIAN NEC/NOS",
"6205","6205 - TORSION OVARY OR FALLOPIAN TUBE",
"6208","6208 - DISEASE NONINFLM OVARY/TUBE NEC",
"6209","6209 - DISEASE NONINFLAM OVARY/TUBE NOS",
"6210","6210 - POLYP CORPUS UTERI",
"6212","6212 - HYPERTROPHY UTERUS",
"62130","62130 - ENDOMETRIAL HYPERPLASIA UNSPEC",
"62131","62131 - SIMPLE ENDOM HYPERPL W/O ATYPIA",
"62132","62132 - COMP ENDOM HYPERPL W/O ATYPIA",
"62133","62133 - ENDOMET HYPERPLASIA W/ATYPIA",
"62134","62134 - BEN ENDOMET HYPERPLASIA",
"6216","6216 - MALPOSITION UTERUS",
"6218","6218 - DISORDER UTERUS NEC",
"6219","6219 - DISORDER UTERUS NOS",
"6221","6221 - DYSPLASIA CERVIX (UTERI)",
"62210","62210 - DYSPLASIA CERVIX UNSPEC",
"62211","62211 - MILD DYSPLASIA CERVIX",
"62212","62212 - MODERATE DYSPLASIA CERVIX",
"6222","6222 - LEUKOPLAKIA CERVIX (UTERI)",
"6223","6223 - LACERATION OLC CERVIX",
"6224","6224 - STRICTURE/STENOSIS CERVIX",
"6227","6227 - POLYP MUCOUS CERVIX",
"6228","6228 - DISORDER NONINFLM CERVIX NEC",
"6229","6229 - DISORDER NONINFLM CERVIX NOS",
"6230","6230 - DYSPLASIA VAGINA",
"6232","6232 - STRICTURE/ATRESIA VAGINA",
"6234","6234 - LACERATION OLD VAGINA",
"6235","6235 - LEUKORRHEA NONIFECTIVE VAGINA",
"6238","6238 - DISORDER NONINFLM VAGINA NEC",
"6239","6239 - DISORDER NONINFLM VAGINA NOS",
"62401","62401 - VULVAR INTRAEPITHELIAL NEOPLASIA",
"62409","62409 - OTHER DYSTROPHY OF VULV",
"6241","6241 - ATROPHY VULVA",
"6246","6246 - POLYP LABIA/VULVA",
"6248","6248 - DIS NONINFLM VULVA/PERINEUM NEC",
"6249","6249 - DIS NONINFLM VULVA/PERINEUM NOS",
"6250","6250 - DYSPAREUNIA",
"6251","6251 - VAGINISMUS",
"6252","6252 - MITTELSCHMERZ",
"6253","6253 - DYSMENORRHEA",
"6254","6254 - SYNDROME PREMENSTRUAL TENSION",
"6255","6255 - SYNDROME PELVIC CONGESTION",
"6256","6256 - INCONTINENCE FEMALE STRESS",
"62570","62570 - VULVODYNIA UNSPE",
"62571","62571 - VULVAR VESTIBULITI",
"6258","6258 - SYMP ASSOC W/FEM GENITAL ORGANS NEC",
"6259","6259 - SYMP ASSOC W/FEM GENITAL ORGANS NOS",
"6260","6260 - ABSENCE MENSTRUATION",
"6261","6261 - SCANTY MENSTRUATION",
"6262","6262 - EXCESSIVE MENSTRUATION",
"6263","6263 - MENORRHAGIA PUBERTAL",
"6264","6264 - IRREGULAR MENSTRUATION",
"6265","6265 - BLEEDING OVULATION",
"6266","6266 - METRORRHAGIA",
"6267","6267 - BLEEDING POSTCOITAL",
"6268","6268 - DISORDER MENSTRUAL NEC",
"6269","6269 - DISORDER MENSTRUAL NOS",
"6270","6270 - MENORRHAGIA PREMENOPAUSAL",
"6271","6271 - BLEEDING POSTMENOPAUSAL",
"6272","6272 - STATE FEMALE CLIMACTERIC",
"6273","6273 - VAGINITIS ACUTE",
"6274","6274 - STATES ARTIFICIAL MENOPAUSE",
"6278","6278 - DISORDER MENOPAUSAL NEC",
"6279","6279 - DISORDER MENOPAUSAL NOS",
"6280","6280 - INFERTILITY ANOVULATION",
"6282","6282 - INFERTILITY TUBAL ORIGIN",
"6288","6288 - INFERTILITY FEMALE NEC",
"6289","6289 - INFERTILITY FEMALE NOS",
"62981","62981 - HABITUAL ABORTER W/O CURRENT PREG",
"62989","62989 - OTH SPEC DISORD FEMALE GEN ORGS",
"6299","6299 - DISORDER FEMALE GENITAL NOS",
"630","630 - MOLE HYDATIDIFORM",
"631","631 - ABNORMAL PRODUCT OF CONCEPTION OTH",
"6310","6310 - INAPPROPRIATE CHANGE IN QUANTITATIVE",
"6318","6318 - OTHER ABNORMAL PRODUCTS OF CONCEPTIO",
"632","632 - ABORTION MISSED",
"63390","63390 - UNS ECT PREG W/O IU PREG",
"63400","63400 - ABORTION SPONT W/PLV INFCT UNSPC",
"63480","63480 - ABORTION SPONT W/CMPL NOS UNSPC",
"63482","63482 - ABORTION SPONT W/CMPL NOS COMPL",
"63490","63490 - ABORTION SPONT W/O CMPL UNSPC",
"63491","63491 - ABORTION SPONT W/O CMPL INCMPL",
"63492","63492 - ABORTION SPONT W/O CMPL COMPLETE",
"63590","63590 - ABORTION LEGAL W/O CMPL UNSPC",
"63591","63591 - ABORTION LEGAL W/CMPL INCOMPLETE",
"63592","63592 - ABORTION LEGAL W/CMPL COMPLETE",
"63710","63710 - ABORTION NOS W/HEM UNSPECIFIED",
"63711","63711 - ABORTION NOS W/HEM INCOMPLETE",
"63790","63790 - ABORTION NOS W/O CMPL UNSPECIFIED",
"63791","63791 - ABORTION NOS W/O CMPL INCOMPLETE",
"6391","6391 - COMPLICATION POST-ABORTION HEM",
"6393","6393 - COMPLICATION POST-ABORTION RF",
"6398","6398 - CMPL POST-ABORTION OTH SPECIFIED",
"64000","64000 - HEM/EARLY PRG THRTND ABRTN UNSPE",
"64003","64003 - HEM/EARLY PRG THRTND ABRTN ANTPRT",
"64083","64083 - HEM/EARLY PRG OTH SPEC ANTEPARTUM",
"64090","64090 - HEM IN EARLY PRG NOS UNSPE",
"64093","64093 - HEM IN EARLY PRG NOS ANTEPARTUM",
"64101","64101 - PLACENTA PREVIA W/O HEM DELIVERED",
"64103","64103 - PLACENTA PREVIA W/O HEM ANTEPARTUM",
"64123","64123 - PREMTR SEPRT PLACENTA ANTEPARTUM",
"64190","64190 - HEMORRHAGE ANTPRT NOS UNSPE",
"64193","64193 - HEMORRHAGE ANTPRT NOS ANTEPARTUM",
"64201","64201 - HTN BNG CMPLG PRG/BIRTH DELIVERED",
"64203","64203 - HTN BNG CMPLG PRG/BIRTH ANTPRT",
"64204","64204 - HTN BNG CMPLG PRG/BIRTH PP",
"64221","64221 - HTN PRE-X CMPLG PRG/BIRTH DEL",
"64223","64223 - HTN PRE-X CMPLG PRG/BIRTH ANTPRT",
"64230","64230 - HTN TRNSNT CMPLG PRG/BIRTH UNSPE",
"64231","64231 - HTN TRNSNT CMPLG PRG/BIRTH DEL",
"64233","64233 - HTN TRNSNT CMPLG PRG/BIRTH ANTPRT",
"64240","64240 - PRE-EC MILD/NOS CMPLG PRG UNSPE",
"64241","64241 - PRE-EC MILD/NOS CMPLG PRG DEL",
"64243","64243 - PRE-EC MILD/NOS CMPLG PRG ANTPRT",
"64244","64244 - PRE-EC MILD/NOS CMPLG PRG PP",
"64251","64251 - PRE-EC SVR CMPLG PRG/BIRTH DEL",
"64253","64253 - PRE-EC SVR CMPLG PRG/BIRTH ANTPRT",
"64271","64271 - PRE-EC/ECLMP ON PRE-X HTN DEL",
"64273","64273 - PRE-EC/ECLMP ON PRE-X HTN ANTPRT",
"64274","64274 - PRE-EC/ECLMP ON PRE-X HTN PP",
"64290","64290 - HTN NOS CMPLG PRG/BIRTH UNSPE",
"64291","64291 - HTN NOS CMPLG PRG/BIRTH DELIVERED",
"64292","64292 - HTN NOS CMPLG PRG/BIRTH DEL W/PP",
"64293","64293 - HTN NOS CMPLG PRG/BIRTH ANTEPARTUM",
"64294","64294 - HTN NOS CMPLG PRG/BIRTH POSTPARTUM",
"64300","64300 - HYPEREMESIS GRAVIDARUM MILD UNSPE",
"64303","64303 - HYPEREMESIS GRAVIDARUM MILD ANTPRT",
"64313","64313 - HYPRMES GRVD W/MTB DSTURB ANTPRT",
"64323","64323 - VOMITING PRG LATE ANTEPARTUM",
"64383","64383 - VOMITING OTH CMPLG PRG ANTEPARTUM",
"64393","64393 - VOMITING PRG NOS ANTEPARTUM",
"64400","64400 - LABOR THRNTD PREMTR UNSPE",
"64403","64403 - LABOR THRNTD PREMTR ANTEPARTUM",
"64410","64410 - LABOR THRNTD OTH UNSPE",
"64413","64413 - LABOR THRNTD OTHER ANTEPARTUM",
"64421","64421 - DELIVERY EARLY ONSET DELIVERED",
"64511","64511 - PREGNANCY POST TERM DELIVERED",
"64513","64513 - PREGNANCY POST TERM ANTEPARTUM",
"64603","64603 - PAPYRACEOUS FETUS ANTEPARTUM",
"64613","64613 - EDEMA PRG W/O HTN ANTEPARTUM",
"64620","64620 - DIS RENAL NOS PRG W/O HTN UNSPE",
"64623","64623 - DIS RENAL NOS PRG W/O HTN ANTPRT",
"64624","64624 - DIS RENAL NOS PRG W/O HTN PP",
"64630","64630 - ABORTER HABITUAL UNSPE",
"64633","64633 - ABORTER HABITUAL ANTEPARTUM",
"64663","64663 - INFECTION GU PRG ANTEPARTUM",
"64664","64664 - INFECTION GU PRG POSTPARTUM",
"64680","64680 - CMPL OTH SPC PRG UNSPE",
"64683","64683 - CMPL OTH SPC PRG ANTEPARTUM",
"64684","64684 - CMPL OTH SPC PRG POSTPARTUM",
"64690","64690 - COMPLICATION PREG NOS UNSPE",
"64691","64691 - COMPLICATION PREG NOS DELIVERED",
"64693","64693 - COMPLICATION PREG NOS ANTEPARTUM",
"64793","64793 - INFCT NOS IN MTHR CMPLG PRG ANTPRT",
"64800","64800 - DIABETES IN MTHR CMPLG PRG UNSPE",
"64801","64801 - DIABETES IN MTHR CMPLG PRG DEL",
"64802","64802 - DIABETES IN MTHR CMPLG PRG DEL +PP",
"64803","64803 - DIABETES IN MTHR CMPLG PRG ANTPRT",
"64804","64804 - DIABETES IN MTHR CMPLG PRG PP",
"64810","64810 - DYSFNC THYR MTHR CMPLG PRG UNSPE",
"64811","64811 - DYSFNC THYR IN MTHR CMPLG PRG DEL",
"64813","64813 - DYSFNC THRY MTHR CMPLG PRG ANTPRT",
"64821","64821 - ANEMIA IN MTHR CMPLG PRG DEL",
"64822","64822 - ANEMIA IN MTHR CMPLG PRG DEL W/PP",
"64823","64823 - ANEMIA IN MTHR CMPLG PRG ANTPRT",
"64824","64824 - ANEMIA IN MTHR CMPLG PRG PP",
"64833","64833 - DPND DRUG IN MTHR CMPLG PRG ANTPRT",
"64840","64840 - DSORD MNTL IN MTHR CMPLG PRG UNSPE",
"64841","64841 - DSORD MNTL IN MTHR CMPLG PRG DEL",
"64843","64843 - DSORD MNTL MTHR CMPLG PRG ANTPRT",
"64844","64844 - DSORD MNTL MTHR CMPLG PRG PP",
"64853","64853 - DSORD CNGN CV MTHR CMPLG PRG ANTPRT",
"64863","64863 - DIS CV NEC IN MTHR CMPLG PRG ANTPRT",
"64864","64864 - DIS CV NEC IN MTHR CMPLG PRG PP",
"64873","64873 - DSORD BONE/JOINT CMPLG PRG ANTPRT",
"64880","64880 - GLUCOSE TLRNC ABNRM CMPLG PRG UNSPE",
"64881","64881 - GLUCOSE TLRNC ABNRM CMPLG PRG DEL",
"64883","64883 - GLCS TLRNC ABNRM CMPLG PRG ANTPRT",
"64884","64884 - GLCS TLRNC ABNRM MTHR CMPLG PRG PP",
"64891","64891 - CND OTH CE MTHR CMPLG PRG DEL",
"64893","64893 - CND OTH CE MTHR CMPLG PRG ANTPRT",
"64894","64894 - CND OTH CE MTHR CMPLG PRG PP",
"64901","64901 - TOBACCO USE COMP PREG DELIVER",
"64903","64903 - TOBACCO USE COMP PREG ANTEPART",
"64904","64904 - TOBACCO USE COMP PREG POSTPART",
"64910","64910 - OBESITY COMP PREG UNSPEC",
"64911","64911 - OBESITY COMP PREG DELIVERED",
"64913","64913 - OBESITY COMP PREG ANTEPARTUM",
"64914","64914 - OBESITY COMP PREG POSTPARTUM",
"64920","64920 - BARI SURG STATUS COMP PREG UNSPEC",
"64930","64930 - COAG DEFECTS COMP PREG UNSPEC",
"64940","64940 - EPILEPSY COMP PREG UNSPEC",
"64943","64943 - EPILEPSY COMP PREG ANTEPARTUM",
"64953","64953 - SPOTTING COMP PREG ANTEPARTUM",
"64963","64963 - UTERINE SIZE DATE DISCREP ANTEPART",
"64973","64973 - CERVICAL SHORTENING ANTEPARTU",
"64981","64981 - ONSET (SPONTANEOUS) OF LABOR AFTER",
"650","650 - DELIVERY NORMAL",
"65220","65220 - BREECH PRESENTATION UNSPE",
"65221","65221 - BREECH PRESENTATION DELIVERED",
"65223","65223 - BREECH PRESENTATION ANTEPARTUM",
"65233","65233 - TRANSVERSE/OBLQ PRSNT ANTEPARTUM",
"65281","65281 - MALPOS/MALPRSNT FETUS NEC DEL",
"65300","65300 - ABNRM MAJOR BONY PLV NFS UNSPE",
"65311","65311 - CONTRACTED PELVIS NOS DELIVERED",
"65350","65350 - DISPRPOR D/T UNUSLY LRG FETUS UNSPE",
"65351","65351 - DISPRPOR D/T UNUSLY LRG FETUS DEL",
